adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001104659-18-067000	718877	ACTIVISION BLIZZARD, INC.	7372	US	CA	SANTA MONICA	90405	3100 OCEAN PARK BLVD		3102552000	US	CA	SANTA MONICA	90405	3100 OCEAN PARK BLVD		US	DE	954803544	ACTIVISION INC /NY	19930114	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 16:41:00.0	0	1	atvi-20180930.xml	1	
0001104659-18-067003	1620179	EXELA TECHNOLOGIES, INC.	7389	US	TX	IRVING	75061	2701 EAST GRAUWYLER RD.		844-935-2832	US	TX	IRVING	75061	2701 EAST GRAUWYLER RD.		US	DE	471347291	QUINPARIO ACQUISITION CORP. 2	20140922	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 16:42:00.0	0	1	xela-20180930.xml	1	
0001104659-18-067032	1447669	TWILIO INC	7372	US	CA	SAN FRANCISCO	94105	375 BEALE ST	SUITE 300	650-270-2199	US	CA	San Francisco	94105	375 BEALE ST	SUITE 300	US	DE	000000000			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 17:24:00.0	0	1	twlo-20180930.xml	1	
0001104659-18-067047	1207074	VIRTUSA CORP	7371	US	MA	SOUTHBOROUGH	01772	132 TURNPIKE RD		508-389-7300	US	MA	SOUTHBOROUGH	01772	132 TURNPIKE RD		US	DE	000000000			1-LAF	0	0331	10-Q	20180930	2019	Q2	20181109	2018-11-08 18:05:00.0	0	1	vrtu-20180930.xml	1	
0001104659-18-067133	1509745	LEAP THERAPEUTICS, INC.	2834	US	MA	CAMBRIDGE	02142	47 THORNDIKE STREET	SUITE B1-1	617 252 4343	US	MA	CAMBRIDGE	02142	47 THORNDIKE STREET	SUITE B1-1	US	DE	274412575	DEKKUN CORP	20110107	4-NON	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 07:02:00.0	0	1	lptx-20180930.xml	1	
0001104659-18-067217	1356576	SUPERNUS PHARMACEUTICALS INC	2834	US	MD	ROCKVILLE	20850	1550 E GUDE DR		301-838-2500	US	MD	ROCKVILLE	20850	1550 E GUDE DR		US	DE	000000000			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 09:50:00.0	0	1	supn-20180930.xml	1	
0001104659-18-067274	1109354	BRUKER CORP	3826	US	MA	BILLERICA	01821	40 MANNING RD		978663-3660	US	MA	BILLERICA	01821	40 MANNING RD		US	DE	043110160	BRUKER BIOSCIENCES CORP	20030721	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 12:00:00.0	0	1	brkr-20180930.xml	1	
0001104659-18-067280	711477	KIEWIT ROYALTY TRUST	6795	US	NE	OMAHA	68102	17TH & FARNAM ST	FIRSTIER BANK NA OMAHA - TRUST DIV	4023486000	US	NE	OMAHA	68102	FIRSTIER BANK NA OMAHA	17TH & FARNAM ST	US	NE	476131402			4-NON	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 12:21:00.0	0	1	kiry-20180930.xml	1	
0001104659-18-067327	1075607	TC PIPELINES LP	4922	US	TX	HOUSTON	77002-2700	700 LOUISIANA STREET, SUITE 700		(877) 290-2772	US	TX	HOUSTON	77002-2700	700 LOUISIANA STREET, SUITE 700		US	DE	522135448			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 14:03:00.0	0	1	tcp-20180930.xml	1	
0001104659-18-067395	1467652	NEOS THERAPEUTICS, INC.	2834	US	TX	GRAND PRAIRIE	75050	2940 N. HIGHWAY 360	SUITE 400	972.408.1360	US	TX	GRAND PRAIRIE	75050	2940 N. HIGHWAY 360	SUITE 400	US	DE	270395455			2-ACC	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 16:12:00.0	0	1	neos-20180930.xml	1	
0001104659-18-067400	1649904	RHYTHM PHARMACEUTICALS, INC.	2834	US	MA	BOSTON	02116	500 BOYLSTON STREET	11TH FLOOR	857-264-4280	US	MA	BOSTON	02116	500 BOYLSTON STREET	11TH FLOOR	US	DE	462159271	RHYTHM METABOLIC, INC.	20150803		0	1231	8-K	20171231	2017	FY	20181109	2018-11-09 16:15:00.0	0	1	rytm-20181109.xml	1	
0001104659-18-067422	1533924	MIDSTATES PETROLEUM COMPANY, INC.	1311	US	OK	TULSA	74103	321 SOUTH BOSTON	SUITE 1000	(918) 974-8550	US	OK	TULSA	74103	321 SOUTH BOSTON	SUITE 1000	US	DE	453691816			2-ACC	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 16:34:00.0	0	1	mpo-20180930.xml	1	
0001104659-18-067431	887596	CHEESECAKE FACTORY INC	5812	US	CA	CALABASAS HILLS	91301	26901 MALIBU HILLS RD		818-871-3000	US	CA	CALABASAS HILLS	91301	26901 MALIBU HILLS RD		US	DE	510340466	CHEESECAKE FACTORY INCORPORATED	19930328	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 17:02:00.0	0	1	cake-20181002.xml	1	
0001104659-18-067684	839923	VODAFONE GROUP PUBLIC LTD CO	4812	GB		NEWBURY, BERKSHIRE	RG14 2FN	VODAFONE HOUSE	THE CONNECTION	011-44-1635-33251	GB		NEWBURY, BERKSHIRE	RG14 2FN	VODAFONE HOUSE	THE CONNECTION			000000000	VODAFONE GROUP PUBLIC LIMITED CO	20020807		0	0331	6-K	20180930	2018	Q2	20181113	2018-11-13 06:55:00.0	0	1	vod-20180930.xml	1	
0001104659-18-067718	1454789	CATABASIS PHARMACEUTICALS INC	2834	US	MA	CAMBRIDGE	02139	ONE KENDALL SQUARE	BLDG. 1400E, SUITE B14202	617-349-1971	US	MA	CAMBRIDGE	02139	ONE KENDALL SQUARE	BLDG. 1400E, SUITE B14202	US	DE	000000000			4-NON	0	1231	10-Q	20180930	2018	Q3	20181113	2018-11-13 07:31:00.0	0	1	catb-20180930.xml	1	
0001104659-18-067720	1694187	NEON THERAPEUTICS, INC.	2836	US	MA	CAMBRIDGE	02139	40 ERIE STREET	SUITE 110	617-337-4701	US	MA	CAMBRIDGE	02139	40 ERIE STREET	SUITE 110	US	DE	000000000			4-NON	0	1231	10-Q	20180930	2018	Q3	20181113	2018-11-13 07:34:00.0	0	1	ntgn-20180930.xml	1	
0001104659-18-067739	1709401	RUBIUS THERAPEUTICS, INC.	2836	US	MA	CAMBRIDGE	02139	325 VASSAR STREET, SUITE 1A		617-679-9600	US	MA	CAMBRIDGE	02139	325 VASSAR STREET, SUITE 1A		US	DE	042688109			4-NON	0	1231	10-Q	20180930	2018	Q3	20181113	2018-11-13 08:12:00.0	0	1	ruby-20180930.xml	1	
0001104659-18-067849	1680379	STERLING BANCORP, INC.	6035	US	MI	SOUTHFIELD	48076	ONE TOWNE SQUARE	SUITE 1900	248-351-3495	US	MI	SOUTHFIELD	48076	ONE TOWNE SQUARE	SUITE 1900	US	MI	382424834			4-NON	0	1231	10-Q	20180930	2018	Q3	20181113	2018-11-13 13:21:00.0	0	1	sbt-20180930.xml	1	
0001104659-18-067920	912766	LAUREATE EDUCATION, INC.	8200	US	MD	BALTIMORE	21202	650 S. EXETER STREET		4108436100	US	MD	BALTIMORE	21202	650 S. EXETER STREET		US	DE	521492296	SYLVAN LEARNING SYSTEMS INC	19930929		0	1231	8-K	20171231	2017	FY	20181113	2018-11-13 16:23:00.0	0	1	laur-20171231.xml	1	
0001104659-18-067939	1052054	EVOLVING SYSTEMS INC	7371	US	CO	ENGLEWOOD	80112	9800 PYRAMID COURT, SUITE 400		3038021000	US	CO	ENGLEWOOD	80112	9800 PYRAMID COURT, SUITE 400		US	DE	841010843			4-NON	0	1231	10-Q	20180930	2018	Q3	20181113	2018-11-13 16:47:00.0	0	1	evol-20180930.xml	1	
0001104659-18-068343	1309132	ASPECT FUTURESACCESS LLC	6221	US	NY	NEW YORK	10281	MERRILL LYNCH ALTERNATIVE INVESTMENTS	250 VESEY STREET, 11TH FLOOR	212-449-3520	US	NY	NEW YORK	10281	MERRILL LYNCH ALTERNATIVE INVESTMENTS	250 VESEY STREET, 11TH FLOOR	US	DE	201227650	ML ASPECT FUTURESACCESS LLC	20041118	4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 11:36:00.0	0	1	mlaf-20180930.xml	1	
0001104659-18-068344	1309136	ML WINTON FUTURESACCESS LLC	6221	US	NY	NEW YORK	10281	MERRILL LYNCH ALTERNATIVE INVESTMENTS	250 VESEY STREET, 11TH FLOOR	212-449-3520	US	NY	NEW YORK	10281	MERRILL LYNCH ALTERNATIVE INVESTMENTS	250 VESEY STREET, 11TH FLOOR	US	DE	201227904			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 11:37:00.0	0	1	mlwf-20180930.xml	1	
0001104659-18-068345	1562622	CAVENDISH FUTURES FUND LLC	6221	US	NY	NEW YORK	10019	1285 AVENUE OF THE AMERICAS	13TH FLOOR	(800)580-2359	US	NY	NEW YORK	10019	1285 AVENUE OF THE AMERICAS	13TH FLOOR	US	DE	900887130			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 11:41:00.0	0	1	cavf-20180930.xml	1	
0001104659-18-068350	1675644	FVCBANKCORP, INC.	6022	US	VA	FAIRFAX	22030	11325 RANDOM HILLS ROAD	SUITE 240	703-436-3800	US	VA	FAIRFAX	22030	11325 RANDOM HILLS ROAD	SUITE 240	US	VA	475020283			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 11:55:00.0	0	1	fvcb-20180930.xml	1	
0001104659-18-068411	946563	RETRACTABLE TECHNOLOGIES INC	3841	US	TX	LITTLE ELM	75068-0009	511 LOBO LANE		9722941010	US	TX	LITTLE ELM	75068-0009	511 LOBO LANE		US	TX	752599762			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 14:34:00.0	0	1	rvp-20180930.xml	1	
0001104659-18-068434	1737953	REPLIMUNE GROUP, INC.	2836	US	MA	WOBURN	01801	18 COMMERCE WAY		781-995-2443	US	MA	WOBURN	01801	18 COMMERCE WAY		US	MA	822082553			4-NON	0	0331	10-Q	20180930	2018	Q2	20181114	2018-11-14 16:04:00.0	0	1	repl-20180930.xml	1	
0001104659-18-068455	722313	NORTECH SYSTEMS INC	3679	US	MN	MAPLE GROVE	55369	7550 MERIDIAN CIRCLE N	SUITE 150	952-345-2244	US	MN	MAPLE GROVE	55369	7550 MERIDIAN CIRCLE N	SUITE 150	US	MN	411681094	DSC NORTECH INC	19901217	4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 16:20:00.0	0	1	nsys-20180930.xml	1	
0001104659-18-068460	1724344	ENTASIS THERAPEUTICS HOLDINGS INC.	2834	US	MA	WALTHAM	02451	35 GATEHOUSE DRIVE		(781) 810-0120	US	MA	WALTHAM	02451	35 GATEHOUSE DRIVE				824592913	ENTASIS THERAPEUTICS LTD	20171204	4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 16:23:00.0	0	1	ettx-20180930.xml	1	
0001104659-18-068475	1001171	BROADWAY FINANCIAL CORP DE	6035	US	CA	LOS ANGELES	90036	5055 WILSHIRE BLVD STE 500		3236341700	US	CA	LOS ANGELES	90036	5055 WILSHIRE BLVD STE 500		US	DE	954547287			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 16:40:00.0	0	1	byfc-20180930.xml	1	
0001104659-18-068490	1130598	ONCONOVA THERAPEUTICS, INC.	2834	US	PA	NEWTOWN	18940	375 PHEASANT RUN		267-759-3681	US	PA	NEWTOWN	18940	375 PHEASANT RUN		US	DE	000000000	ONCONOVA THERAPEUTICS, INC.	20090526	4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 17:02:00.0	0	1	ontx-20180930.xml	1	
0001104659-18-068491	1614067	ARIDIS PHARMACEUTICALS, INC.	2834	US	CA	SAN JOSE	95138	5941 OPTICAL COURT		(408) 385-1742	US	CA	SAN JOSE	95138	5941 OPTICAL COURT		US	DE	320074500			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 17:02:00.0	0	1	ards-20180930.xml	1	
0001104659-18-068499	1583771	CONTRAVIR PHARMACEUTICALS, INC.	2834	US	NJ	EDISON	08837	399 THORNALL STREET	FIRST FLOOR	732-902-4000	US	NJ	EDISON	08837	399 THORNALL STREET	FIRST FLOOR	US	DE	462783806			4-NON	0	1231	10-Q	20180930	2018	Q3	20181114	2018-11-14 17:27:00.0	0	1	ctrv-20180930.xml	1	
0001104659-18-068607	1563407	SMART & FINAL STORES, INC.	5411	US	CA	COMMERCE	90040	600 CITADEL DRIVE		323.869.7500	US	CA	COMMERCE	90040	600 CITADEL DRIVE		US	CA	800862253	SMART & FINAL STORES	20140616	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181115	2018-11-15 06:04:00.0	0	1	sfs-20181007.xml	1	
0001104659-18-070318	57131	LA-Z-BOY INC	2510	US	MI	MONROE	48162	ONE LA-Z-BOY DRIVE		7342421444	US	MI	MONROE	48162	ONE LA-Z-BOY DRIVE		US	MI	380751137	LA Z BOY CHAIR CO	19920703	1-LAF	0	0430	10-Q	20181031	2019	Q2	20181128	2018-11-28 16:27:00.0	0	1	lzb-20181027.xml	1	
0001104659-18-071151	1573097	HD SUPPLY HOLDINGS, INC.	5000	US	GA	ATLANTA	30339	3400 CUMBERLAND BOULEVARD		770-852-9000	US	GA	ATLANTA	30339	3400 CUMBERLAND BOULEVARD		US	DE	260486780	HD SUPPLY HOLDING, INC.	20130408	1-LAF	0	0131	10-Q	20181031	2018	Q3	20181204	2018-12-03 20:11:00.0	0	1	hds-20181028.xml	2	1465264
0001104659-18-071533	719245	WESTPAC BANKING CORP	6029	AU		SYDNEY	2000	LEVEL 18, 275 KENT STREET		212-551-1835	US	NY	NEW YORK	10017-2422	575 FIFTH AVENUE	39TH FLOOR	AU		986008211			1-LAF	1	0930	20-F/A	20180930	2018	FY	20181206	2018-12-06 07:21:00.0	0	1	wbk-20180930.xml	1	
0001104659-18-071543	100591	ARGAN INC	1700	US	MD	ROCKVILLE	20850	ONE CHURCH STREET SUITE 201		301 315-0027	US	MD	ROCKVILLE	20850	ONE CHURCH STREET SUITE 201		US	DE	131947195	PUROFLOW INC	19920703	2-ACC	0	0131	10-Q	20181031	2019	Q3	20181206	2018-12-06 08:17:00.0	0	1	agx-20181031.xml	1	
0001104659-18-071772	1467808	GLOBAL CORD BLOOD CORP	6770	HK		CENTRAL HONG KONG	000000	48 FL., BANK OF CHINA TOWER	1 GARDEN ROAD	852-3605-8180	HK		CENTRAL HONG KONG	000000	48 FL., BANK OF CHINA TOWER	1 GARDEN ROAD			000000000	CHINA CORD BLOOD CORP	20090707	2-ACC	0	0331	6-K/A	20180930	2019	Q2	20181207	2018-12-07 07:04:00.0	0	1	co-20180930.xml	1	
0001104659-18-072389	1467652	NEOS THERAPEUTICS, INC.	2834	US	TX	GRAND PRAIRIE	75050	2940 N. HIGHWAY 360	SUITE 400	972.408.1360	US	TX	GRAND PRAIRIE	75050	2940 N. HIGHWAY 360	SUITE 400	US	DE	270395455			2-ACC	0	1231	8-K	20171231	2017	FY	20181211	2018-12-11 17:03:00.0	0	1	neos-20171231.xml	1	
0001104659-18-072539	1574135	PIVOTAL SOFTWARE, INC.	7372	US	CA	SAN FRANCISCO	94103	875 HOWARD STREET, 5TH FLOOR		(415) 777-4868	US	CA	SAN FRANCISCO	94103	875 HOWARD STREET, 5TH FLOOR		US	DE	943094578	GOPIVOTAL, INC.	20130410	4-NON	0	0131	10-Q	20181031	2019	Q3	20181212	2018-12-12 16:02:00.0	0	1	pvtl-20181102.xml	1	
0001104659-18-073842	1750	AAR CORP	3720	US	IL	WOOD DALE	60191	1100 N WOOD DALE RD		6302272000	US	IL	WOOD DALE	60191	1100 N WOOD DALE RD		US	DE	362334820	ALLEN AIRCRAFT RADIO INC	19700204	1-LAF	0	0531	10-Q	20181130	2019	Q2	20181219	2018-12-19 16:39:00.0	0	1	air-20181130.xml	1	
0001104659-18-074460	836690	INNOVATIVE SOLUTIONS & SUPPORT INC	7371	US	PA	MALVERN	19355	420 LAPP RD		6108899898	US	PA	MALVERN	19355	420 LAPP ROAD		US	PA	232507402			4-NON	0	0930	10-K	20180930	2018	FY	20181221	2018-12-21 16:33:00.0	0	1	issc-20180930.xml	1	
0001104659-18-074785	1722380	ONESMART INTERNATIONAL EDUCATION GROUP LTD	8200	CN		SHANGHAI	200063	165 WEST GUANGFU ROAD	PUTUO DISTRICT	0085255990116	CN		SHANGHAI	200063	165 WEST GUANGFU ROAD	PUTUO DISTRICT			000000000	ONESMART EDUCATION GROUP LTD	20171113	4-NON	0	0831	20-F	20180831	2018	FY	20181227	2018-12-27 08:39:00.0	0	1	one-20180831.xml	1	
0001107843-18-000012	1107843	QUALYS, INC.	7372	US	CA	FOSTER CITY	94404	919 E. HILLSDALE BLVD.		650-801-6100	US	CA	FOSTER CITY	94404	919 E. HILLSDALE BLVD.		US	DE	770534145	QUALYS INC	20000225	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181105	2018-11-02 19:23:00.0	0	1	qlys-20180930.xml	1	
0001108134-18-000019	1108134	BERKSHIRE HILLS BANCORP INC	6036	US	MA	BOSTON	02109	60 STATE STREET	38TH FLOOR	617-807-8190	US	MA	BOSTON	02109	60 STATE STREET	38TH FLOOR	US	DE	043510455			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181109	2018-11-09 14:57:00.0	0	1	bhlb-20180930.xml	1	
0001108205-18-000017	1108205	CURIS INC	2836	US	MA	LEXINGTON	02421	4 MAGUIRE ROAD		617-503-6500	US	MA	LEXINGTON	02421	4 MAGUIRE ROAD		US	DE	043505116			2-ACC	0	1231	10-Q	20180930	2018	Q3	20181101	2018-11-01 07:35:00.0	0	1	cris-20180930.xml	1	
0001108426-18-000058	1108426	PNM RESOURCES INC	4911	US	NM	ALBUQUERQUE	87102-3289	414 SILVER AVE. SW		5052412700	US	NM	ALBUQUERQUE	87102-3289	414 SILVER AVE. SW	ATTN: MS 0905 - CATHY MARTINEZ	US	NM	850019030	MANZANO CORP	20000303	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181106	2018-11-06 16:48:00.0	0	1	pnm-20180930.xml	3	81023 22767
0001108524-18-000087	1108524	SALESFORCE COM INC	7372	US	CA	SAN FRANCISCO	94105	SALESFORCE TOWER	415 MISSION STREET 3RD FL	415-901-7000	US	CA	SAN FRANCISCO	94105	SALESFORCE TOWER	415 MISSION STREET 3RD FL	US	DE	943320693			1-LAF	0	0131	10-Q	20181031	2019	Q3	20181128	2018-11-28 16:36:00.0	0	1	crm-20181031.xml	1	
0001108827-18-000044	1108827	QEP RESOURCES, INC.	1311	US	CO	DENVER	80265	1050 17TH STREET, SUITE 800		303-672-6900	US	CO	DENVER	80265	1050 17TH STREET, SUITE 800		US	DE	870287750	QUESTAR MARKET RESOURCES INC	20000309	1-LAF	1	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 16:38:00.0	0	1	qep-20180930.xml	1	
0001109189-18-000141	1109189	BASIC ENERGY SERVICES INC	1389	US	TX	FORT WORTH	76102	801 CHERRY STREET	SUITE 2100	817-334-4100	US	TX	FORT WORTH	76102	801 CHERRY STREET	SUITE 2100			542091194	SIERRA WELL SERVICE INC	20000313	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181105	2018-11-05 16:50:00.0	0	1	bas-20180930_htm.xml	1	
0001109448-18-000058	1109448	ALLIANCEBERNSTEIN L.P.	6282	US	NY	NEW YORK	10105	1345 AVENUE OF THE AMERICAS		2129691000	US	NY	NEW YORK	10105	1345 AVENUE OF THE AMERICAS		US	DE	134064930	ALLIANCE CAPITAL MANAGEMENT L P	20000316	4-NON	0	1231	10-Q	20180930	2018	Q3	20181024	2018-10-24 06:58:00.0	0	1	ablp-20180930.xml	1	
0001109546-18-000037	1109546	PACIFIC MERCANTILE BANCORP	6021	US	CA	COSTA MESA	92626	949 SOUTH COAST DRIVE	THIRD FLOOR	714-438-2500	US	CA	COSTA MESA	92626	949 SOUTH COAST DRIVE	THIRD FLOOR	US	CA	330898238			2-ACC	0	1231	10-Q	20180930	2018	Q3	20181102	2018-11-02 15:23:00.0	0	1	pmbc-20180930.xml	1	
0001110803-18-000031	1110803	ILLUMINA INC	3826	US	CA	SAN DIEGO	92122	5200 ILLUMINA WAY		8582024500	US	CA	SAN DIEGO	92122	5200 ILLUMINA WAY		US	DE	330804655			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181024	2018-10-23 19:46:00.0	0	1	ilmn-20180930.xml	1	
0001110805-18-000084	1110805	NUSTAR ENERGY L.P.	4610	US	TX	SAN ANTONIO	78257	19003 IH-10 WEST		(210) 918-2000	US	TX	SAN ANTONIO	78257	19003 IH-10 WEST		US	DE	742956831	VALERO L P	20020110	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181106	2018-11-06 15:00:00.0	0	1	ns-20180930.xml	1	
0001111335-18-000016	1111335	VISTEON CORP	3714	US	MI	VAN BUREN TOWNSHIP	48111	ONE VILLAGE CENTER DRIVE		800-847-8366	US	MI	VAN BUREN TOWNSHIP	48111	ONE VILLAGE CENTER DRIVE		US	DE	383519512			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 07:19:00.0	0	1	vc-20180930.xml	1	
0001111711-18-000049	1111711	NISOURCE INC/DE	4931	US	IN	MERRILLVILLE	46410-6272	801 EAST 86TH AVE		2196475200	US	IN	MERRILLVILLE	46410-6272	801 EAST 86TH AVE		US	DE	352108964	NEW NISOURCE INC	20000412	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181101	2018-11-01 06:07:00.0	0	1	nix-20180930.xml	1	
0001111928-18-000137	1111928	IPG PHOTONICS CORP	3674	US	MA	OXFORD	01540	50 OLD WEBSTER ROAD		5083731100	US	MA	OXFORD	01540	50 OLD WEBSTER ROAD		US	DE	043444218			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181105	2018-11-05 16:32:00.0	0	1	ipgp-20180930_htm.xml	1	
0001113148-18-000013	1113148	INFINITY PHARMACEUTICALS, INC.	2834	US	MA	CAMBRIDGE	02139	784 MEMORIAL DRIVE		6174531000	US	MA	CAMBRIDGE	02139	784 MEMORIAL DRIVE		US	DE	330655706	INFINITY PHARMACEUTICALS, INC./NEW/	20060913	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181105	2018-11-05 15:33:00.0	0	1	infi-20180930.xml	1	
0001113169-18-000023	1113169	PRICE T ROWE GROUP INC	6200	US	MD	BALTIMORE	21289-0320	100 EAST PRATT STREET	P.O. BOX 89000	4103452000	US	MD	BALTIMORE	21289-0320	100 EAST PRATT STREET	P.O. BOX 89000	US	MD	522264646			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 13:07:00.0	0	1	trow-20180930.xml	1	
0001113256-18-000120	1113256	MERITOR INC	3714	US	MI	TROY	48084	2135 W MAPLE ROAD		248-435-1000	US	MI	TROY	48084	2135 W MAPLE ROAD		US	IN	383354643	ARVINMERITOR INC	20000511	1-LAF	1	0930	10-K	20180930	2018	FY	20181116	2018-11-15 17:59:00.0	0	1	mtor-20180930.xml	1	
0001113481-18-000049	1113481	MEDICINES CO /DE	2834	US	NJ	PARSIPPANY	07054	8 SYLVAN WAY		973-290-6000	US	NJ	PARSIPPANY	07054	8 SYLVAN WAY		US	DE	043324394	MEDICINES CO/ MA	20000504	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 17:04:00.0	0	1	mdco-20180930.xml	1	
0001114220-18-000104	1114220	KERYX BIOPHARMACEUTICALS INC	2834	US	MA	BOSTON	02210	ONE MARINA PARK DR.		617-466-3500	US	MA	BOSTON	02210	ONE MARINA PARK DR.		US	DE	134087132			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 17:32:00.0	0	1	kerx-20180930.xml	1	
0001114483-18-000026	1114483	INTEGER HOLDINGS CORP	3690	US	TX	PLANO	75024	5830 GRANITE PARKWAY., SUITE 1150		(214) 618-5243	US	TX	PLANO	75024	5830 GRANITE PARKWAY., SUITE 1150		US	DE	161531026	GREATBATCH, INC.	20050531	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181102	2018-11-02 16:31:00.0	0	1	gb-20180928.xml	1	
0001115055-18-000051	1115055	PINNACLE FINANCIAL PARTNERS INC	6021	US	TN	NASHVILLE	37201	150 THIRD AVENUE SOUTH	SUITE 900	6157443700	US	TN	NASHVILLE	37201	150 THIRD AVENUE SOUTH	SUITE 900	US	TN	621812853			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181102	2018-11-02 15:04:00.0	0	1	pnfp-20180930.xml	1	
0001115222-18-000023	1115222	DUN & BRADSTREET CORP/NW	7320	US	NJ	SHORT HILLS	07078	103 JFK PARKWAY	103 JFK PARKWAY	9739215500	US	NJ	SHORT HILLS	07078	103 JFK PARKWAY	103 JFK PARKWAY	US	DE	223725387	NEW D&B CORP	20000523	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181106	2018-11-06 16:03:00.0	0	1	dnb-20180930.xml	1	
0001115836-18-000029	1115836	BELMOND LTD.	7011	BM		HAMILTON	HM 12	22 VICTORIA STREET		1 441 295 2244	GB		LONDON	SE1 2HP	4 BATTLE BRIDGE LANE		BM		980223493	ORIENT EXPRESS HOTELS LTD	20000530	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 13:24:00.0	0	1	bel-20180930.xml	1	
0001116132-18-000027	1116132	TAPESTRY, INC.	3100	US	NY	NEW YORK	10001	10 HUDSON YARDS		2125941850	US	NY	NEW YORK	10001	10 HUDSON YARDS		US	MD	522242751	COACH INC	20000605	1-LAF	0	0630	10-Q	20180930	2019	Q1	20181108	2018-11-08 16:17:00.0	0	1	tpr-20180929.xml	1	
0001117480-18-000036	1117480	CHIMERIX INC	2834	US	NC	DURHAM	27713	2505 MERIDIAN PARKWAY, SUITE 100		919.806.1074	US	NC	DURHAM	27713	2505 MERIDIAN PARKWAY, SUITE 100		US	DE	330903395			2-ACC	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-08 08:03:00.0	0	1	cmrx-20180930.xml	1	
0001117733-18-000090	1117733	CAFEPRESS INC.	5900	US	KY	LOUISVILLE	40243	11909 SHELBYVILLE ROAD		502-995-2258	US	KY	LOUISVILLE	40243	11909 SHELBYVILLE ROAD		US	DE	943342816	CAFEPRESS COM INC	20000630	4-NON	0	1231	10-Q	20180930	2018	Q3	20181116	2018-11-16 16:12:00.0	0	1	prss-20180930.xml	1	
0001117768-18-000942	1606069	SATYA WORLDWIDE, INC.	2731	US	NY	NEW YORK	10170	420 LEXINGTON AVENUE	SUITE 2320	646-975-9246	US	NY	NEW YORK	10170	420 LEXINGTON AVENUE	SUITE 2320			460636099			5-SML	0	1231	10-K/A	20171231	2017	FY	20181004	2018-10-04 15:30:00.0	0	1	gseg-20171231.xml	1	
0001118417-18-000009	1118417	MODEL N, INC.	7370	US	CA	SAN MATEO	94404	777 MARINERS ISLAND BOULEVARD	SUITE 300	(650) 610-4600	US	CA	SAN MATEO	94404	777 MARINERS ISLAND BOULEVARD	SUITE 300	US	DE	770528806	MODEL T1 INC	20001031	2-ACC	0	0930	10-K	20180930	2018	FY	20181116	2018-11-16 16:32:00.0	0	1	modn-20180930.xml	1	
